Area,Element,Item,Year,Value
United States of America,Emissions (CH4),Enteric Fermentation,1990,6100.821
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1990,165463.8174
United States of America,Emissions (CH4),Agriculture total,1990,7879.2294
United States of America,Emissions (CH4),Agriculture total,1991,7929.7109
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1991,166523.929
United States of America,Emissions (CH4),Enteric Fermentation,1991,6123.3945
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1991,128591.2845
United States of America,Emissions (CH4),Manure Management,1991,1282.2683
United States of America,Emissions (CO2eq) from CH4,Manure Management,1991,26927.6335
United States of America,Emissions (CH4),Rice Cultivation,1991,393.904
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1991,8271.984
United States of America,Emissions (CH4),Burning - Crop residues,1991,102.771
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1991,2158.1904
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1991,574.8366
United States of America,Emissions (CH4),Burning - Savanna,1991,27.3732
Canada,Emissions (CH4),Agriculture total,1991,948.0835
Canada,Emissions (CO2eq) from CH4,Agriculture total,1991,19909.7529
Canada,Emissions (CH4),Enteric Fermentation,1991,725.9178
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1991,15244.2738
Canada,Emissions (CH4),Manure Management,1991,190.5095
Canada,Emissions (CO2eq) from CH4,Manure Management,1991,4000.6999
Canada,Emissions (CH4),Burning - Crop residues,1991,18.2767
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1991,280.9679
Canada,Emissions (CH4),Burning - Savanna,1991,13.3794
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1991,383.8114
World,Emissions (CH4),Agriculture total,1991,126962.9438
World,Emissions (CO2eq) from CH4,Agriculture total,1991,2666221.821
World,Emissions (CH4),Enteric Fermentation,1991,89021.0633
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1991,1869442.33
World,Emissions (CH4),Manure Management,1991,9248.8137
World,Emissions (CO2eq) from CH4,Manure Management,1991,194225.0869
World,Emissions (CH4),Rice Cultivation,1991,22090.7868
World,Emissions (CO2eq) from CH4,Rice Cultivation,1991,463906.523
World,Emissions (CO2eq) from CH4,Burning - Savanna,1991,120761.1742
World,Emissions (CH4),Burning - Savanna,1991,5750.5321
World,Emissions (CH4),Burning - Crop residues,1991,851.7479
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1991,17886.7064
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1992,18051.2674
World,Emissions (CH4),Burning - Crop residues,1992,859.5842
World,Emissions (CH4),Burning - Savanna,1992,5750.5321
World,Emissions (CO2eq) from CH4,Burning - Savanna,1992,120761.1742
World,Emissions (CO2eq) from CH4,Rice Cultivation,1992,466676.0262
World,Emissions (CH4),Rice Cultivation,1992,22222.6679
World,Emissions (CO2eq) from CH4,Manure Management,1992,190651.1619
World,Emissions (CH4),Manure Management,1992,9078.6268
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1992,1856785.93
World,Emissions (CH4),Enteric Fermentation,1992,88418.3776
World,Emissions (CO2eq) from CH4,Agriculture total,1992,2652925.56
World,Emissions (CH4),Agriculture total,1992,126329.7886
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1992,362.3028
Canada,Emissions (CH4),Burning - Savanna,1992,13.3794
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1992,280.9679
Canada,Emissions (CH4),Burning - Crop residues,1992,17.2525
Canada,Emissions (CO2eq) from CH4,Manure Management,1992,4063.5636
Canada,Emissions (CH4),Manure Management,1992,193.503
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1992,15808.7927
Canada,Emissions (CH4),Enteric Fermentation,1992,752.7996
Canada,Emissions (CO2eq) from CH4,Agriculture total,1992,20515.6269
Canada,Emissions (CH4),Agriculture total,1992,976.9346
United States of America,Emissions (CH4),Burning - Savanna,1992,27.3732
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1992,574.8366
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1992,2283.2432
United States of America,Emissions (CH4),Burning - Crop residues,1992,108.7259
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1992,9316.0515
United States of America,Emissions (CH4),Rice Cultivation,1992,443.6215
United States of America,Emissions (CO2eq) from CH4,Manure Management,1992,26980.8764
United States of America,Emissions (CH4),Manure Management,1992,1284.8036
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1992,129648.015
United States of America,Emissions (CH4),Enteric Fermentation,1992,6173.715
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1992,168803.0227
United States of America,Emissions (CH4),Agriculture total,1992,8038.2392
United States of America,Emissions (CH4),Agriculture total,1993,8053.6353
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1993,169126.3408
United States of America,Emissions (CH4),Enteric Fermentation,1993,6246.3551
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1993,131173.4571
United States of America,Emissions (CH4),Manure Management,1993,1280.0856
United States of America,Emissions (CO2eq) from CH4,Manure Management,1993,26881.7978
United States of America,Emissions (CH4),Rice Cultivation,1993,401.2715
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1993,8426.7015
United States of America,Emissions (CH4),Burning - Crop residues,1993,98.5499
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1993,2069.5477
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1993,574.8366
United States of America,Emissions (CH4),Burning - Savanna,1993,27.3732
Canada,Emissions (CH4),Agriculture total,1993,970.1793
Canada,Emissions (CO2eq) from CH4,Agriculture total,1993,20373.7653
Canada,Emissions (CH4),Enteric Fermentation,1993,748.2813
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1993,15713.9073
Canada,Emissions (CH4),Manure Management,1993,192.4223
Canada,Emissions (CO2eq) from CH4,Manure Management,1993,4040.8674
Canada,Emissions (CH4),Burning - Crop residues,1993,16.0963
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1993,280.9679
Canada,Emissions (CH4),Burning - Savanna,1993,13.3794
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1993,338.0227
World,Emissions (CH4),Agriculture total,1993,125705.0551
World,Emissions (CO2eq) from CH4,Agriculture total,1993,2639806.158
World,Emissions (CH4),Enteric Fermentation,1993,88044.0585
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1993,1848925.228
World,Emissions (CH4),Manure Management,1993,9013.9696
World,Emissions (CO2eq) from CH4,Manure Management,1993,189293.3619
World,Emissions (CH4),Rice Cultivation,1993,22053.9724
World,Emissions (CO2eq) from CH4,Rice Cultivation,1993,463133.42
World,Emissions (CO2eq) from CH4,Burning - Savanna,1993,120761.1742
World,Emissions (CH4),Burning - Savanna,1993,5750.5321
World,Emissions (CH4),Burning - Crop residues,1993,842.5226
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1993,17692.9738
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1994,17949.1837
World,Emissions (CH4),Burning - Crop residues,1994,854.723
World,Emissions (CH4),Burning - Savanna,1994,5750.5321
World,Emissions (CO2eq) from CH4,Burning - Savanna,1994,120761.1742
World,Emissions (CO2eq) from CH4,Rice Cultivation,1994,467301.9926
World,Emissions (CH4),Rice Cultivation,1994,22252.4758
World,Emissions (CO2eq) from CH4,Manure Management,1994,189936.5703
World,Emissions (CH4),Manure Management,1994,9044.5986
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1994,1863549.405
World,Emissions (CH4),Enteric Fermentation,1994,88740.4479
World,Emissions (CO2eq) from CH4,Agriculture total,1994,2659498.326
World,Emissions (CH4),Agriculture total,1994,126642.7774
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1994,298.4801
Canada,Emissions (CH4),Burning - Savanna,1994,13.3794
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1994,280.9679
Canada,Emissions (CH4),Burning - Crop residues,1994,14.2133
Canada,Emissions (CO2eq) from CH4,Manure Management,1994,4004.2134
Canada,Emissions (CH4),Manure Management,1994,190.6768
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1994,15871.6446
Canada,Emissions (CH4),Enteric Fermentation,1994,755.7926
Canada,Emissions (CO2eq) from CH4,Agriculture total,1994,20455.306
Canada,Emissions (CH4),Agriculture total,1994,974.0622
United States of America,Emissions (CH4),Burning - Savanna,1994,27.3732
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1994,574.8366
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1994,2286.653
United States of America,Emissions (CH4),Burning - Crop residues,1994,108.8882
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1994,9863.3325
United States of America,Emissions (CH4),Rice Cultivation,1994,469.6825
United States of America,Emissions (CO2eq) from CH4,Manure Management,1994,27281.4859
United States of America,Emissions (CH4),Manure Management,1994,1299.1184
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1994,133025.0261
United States of America,Emissions (CH4),Enteric Fermentation,1994,6334.5251
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1994,173031.3341
United States of America,Emissions (CH4),Agriculture total,1994,8239.5873
United States of America,Emissions (CH4),Agriculture total,1995,8269.7446
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1995,173664.636
United States of America,Emissions (CH4),Enteric Fermentation,1995,6419.1683
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1995,134802.5353
United States of America,Emissions (CH4),Manure Management,1995,1284.6713
United States of America,Emissions (CO2eq) from CH4,Manure Management,1995,26978.0964
United States of America,Emissions (CH4),Rice Cultivation,1995,438.0985
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1995,9200.0685
United States of America,Emissions (CH4),Burning - Crop residues,1995,100.4333
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1995,2109.0991
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1995,574.8366
United States of America,Emissions (CH4),Burning - Savanna,1995,27.3732
Canada,Emissions (CH4),Agriculture total,1995,1024.6999
Canada,Emissions (CO2eq) from CH4,Agriculture total,1995,21518.697
Canada,Emissions (CH4),Enteric Fermentation,1995,795.8227
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1995,16712.2777
Canada,Emissions (CH4),Manure Management,1995,200.7784
Canada,Emissions (CO2eq) from CH4,Manure Management,1995,4216.3468
Canada,Emissions (CH4),Burning - Crop residues,1995,14.7193
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1995,280.9679
Canada,Emissions (CH4),Burning - Savanna,1995,13.3794
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1995,309.1046
World,Emissions (CH4),Agriculture total,1995,127290.1604
World,Emissions (CO2eq) from CH4,Agriculture total,1995,2673093.369
World,Emissions (CH4),Enteric Fermentation,1995,89000.3532
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1995,1869007.417
World,Emissions (CH4),Manure Management,1995,9014.6546
World,Emissions (CO2eq) from CH4,Manure Management,1995,189307.7474
World,Emissions (CH4),Rice Cultivation,1995,22669.7118
World,Emissions (CO2eq) from CH4,Rice Cultivation,1995,476063.9488
World,Emissions (CO2eq) from CH4,Burning - Savanna,1995,120761.1742
World,Emissions (CH4),Burning - Savanna,1995,5750.5321
World,Emissions (CH4),Burning - Crop residues,1995,854.9087
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1995,17953.0821
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1996,18395.7885
World,Emissions (CH4),Burning - Crop residues,1996,875.9899
World,Emissions (CH4),Burning - Savanna,1996,4717.4064
World,Emissions (CO2eq) from CH4,Burning - Savanna,1996,99065.5343
World,Emissions (CO2eq) from CH4,Rice Cultivation,1996,481383.2635
World,Emissions (CH4),Rice Cultivation,1996,22923.0125
World,Emissions (CO2eq) from CH4,Manure Management,1996,189112.4251
World,Emissions (CH4),Manure Management,1996,9005.3536
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1996,1868071.898
World,Emissions (CH4),Enteric Fermentation,1996,88955.8047
World,Emissions (CO2eq) from CH4,Agriculture total,1996,2656028.91
World,Emissions (CH4),Agriculture total,1996,126477.5671
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1996,339.9052
Canada,Emissions (CH4),Burning - Savanna,1996,11.0453
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1996,231.952
Canada,Emissions (CH4),Burning - Crop residues,1996,16.186
Canada,Emissions (CO2eq) from CH4,Manure Management,1996,4293.4173
Canada,Emissions (CH4),Manure Management,1996,204.4484
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1996,17483.6886
Canada,Emissions (CH4),Enteric Fermentation,1996,832.5566
Canada,Emissions (CO2eq) from CH4,Agriculture total,1996,22348.9631
Canada,Emissions (CH4),Agriculture total,1996,1064.2363
United States of America,Emissions (CH4),Burning - Savanna,1996,32.4718
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1996,681.9069
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1996,2291.9182
United States of America,Emissions (CH4),Burning - Crop residues,1996,109.139
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1996,8340.4125
United States of America,Emissions (CH4),Rice Cultivation,1996,397.1625
United States of America,Emissions (CO2eq) from CH4,Manure Management,1996,26475.0459
United States of America,Emissions (CH4),Manure Management,1996,1260.7165
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1996,135363.0663
United States of America,Emissions (CH4),Enteric Fermentation,1996,6445.8603
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1996,173152.3497
United States of America,Emissions (CH4),Agriculture total,1996,8245.35
United States of America,Emissions (CH4),Agriculture total,1997,8212.4406
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1997,172461.2526
United States of America,Emissions (CH4),Enteric Fermentation,1997,6339.6906
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1997,133133.5036
United States of America,Emissions (CH4),Manure Management,1997,1309.3658
United States of America,Emissions (CO2eq) from CH4,Manure Management,1997,27496.6822
United States of America,Emissions (CH4),Rice Cultivation,1997,439.5125
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1997,9229.7625
United States of America,Emissions (CH4),Burning - Crop residues,1997,109.3648
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1997,2296.6603
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1997,304.6439
United States of America,Emissions (CH4),Burning - Savanna,1997,14.5069
Canada,Emissions (CH4),Agriculture total,1997,1060.5385
Canada,Emissions (CO2eq) from CH4,Agriculture total,1997,22271.3083
Canada,Emissions (CH4),Enteric Fermentation,1997,832.7714
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1997,17488.2004
Canada,Emissions (CH4),Manure Management,1997,202.9245
Canada,Emissions (CO2eq) from CH4,Manure Management,1997,4261.4137
Canada,Emissions (CH4),Burning - Crop residues,1997,15.1511
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1997,203.5221
Canada,Emissions (CH4),Burning - Savanna,1997,9.6915
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1997,318.1721
World,Emissions (CH4),Agriculture total,1997,124679.2325
World,Emissions (CO2eq) from CH4,Agriculture total,1997,2618263.883
World,Emissions (CH4),Enteric Fermentation,1997,87356.7098
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1997,1834490.906
World,Emissions (CH4),Manure Management,1997,8837.5582
World,Emissions (CO2eq) from CH4,Manure Management,1997,185588.7219
World,Emissions (CH4),Rice Cultivation,1997,23054.8384
World,Emissions (CO2eq) from CH4,Rice Cultivation,1997,484151.6063
World,Emissions (CO2eq) from CH4,Burning - Savanna,1997,95455.3256
World,Emissions (CH4),Burning - Savanna,1997,4545.4917
World,Emissions (CH4),Burning - Crop residues,1997,884.6345
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1997,18577.3237
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1998,18311.2623
World,Emissions (CH4),Burning - Crop residues,1998,871.9649
World,Emissions (CH4),Burning - Savanna,1998,5392.0728
World,Emissions (CO2eq) from CH4,Burning - Savanna,1998,113233.5278
World,Emissions (CO2eq) from CH4,Rice Cultivation,1998,481648.1404
World,Emissions (CH4),Rice Cultivation,1998,22935.6257
World,Emissions (CO2eq) from CH4,Manure Management,1998,186023.9904
World,Emissions (CH4),Manure Management,1998,8858.2853
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1998,1836925.181
World,Emissions (CH4),Enteric Fermentation,1998,87472.6277
World,Emissions (CO2eq) from CH4,Agriculture total,1998,2636142.102
World,Emissions (CH4),Agriculture total,1998,125530.5763
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1998,305.6232
Canada,Emissions (CH4),Burning - Savanna,1998,49.9199
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1998,1048.3189
Canada,Emissions (CH4),Burning - Crop residues,1998,14.5535
Canada,Emissions (CO2eq) from CH4,Manure Management,1998,4330.7019
Canada,Emissions (CH4),Manure Management,1998,206.2239
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1998,17370.6466
Canada,Emissions (CH4),Enteric Fermentation,1998,827.1737
Canada,Emissions (CO2eq) from CH4,Agriculture total,1998,23055.2906
Canada,Emissions (CH4),Agriculture total,1998,1097.871
United States of America,Emissions (CH4),Burning - Savanna,1998,23.4771
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1998,493.0185
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1998,2262.4042
United States of America,Emissions (CH4),Burning - Crop residues,1998,107.7335
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1998,9687.888
United States of America,Emissions (CH4),Rice Cultivation,1998,461.328
United States of America,Emissions (CO2eq) from CH4,Manure Management,1998,27596.6168
United States of America,Emissions (CH4),Manure Management,1998,1314.1246
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1998,130845.2932
United States of America,Emissions (CH4),Enteric Fermentation,1998,6230.7283
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1998,170885.2208
United States of America,Emissions (CH4),Agriculture total,1998,8137.3915
United States of America,Emissions (CH4),Agriculture total,1999,8100.1634
United States of America,Emissions (CO2eq) from CH4,Agriculture total,1999,170103.4314
United States of America,Emissions (CH4),Enteric Fermentation,1999,6191.403
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,1999,130019.4619
United States of America,Emissions (CH4),Manure Management,1999,1283.2702
United States of America,Emissions (CO2eq) from CH4,Manure Management,1999,26948.675
United States of America,Emissions (CH4),Rice Cultivation,1999,497.4445
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,1999,10446.3345
United States of America,Emissions (CH4),Burning - Crop residues,1999,103.3581
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,1999,2170.5194
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,1999,518.4405
United States of America,Emissions (CH4),Burning - Savanna,1999,24.6876
Canada,Emissions (CH4),Agriculture total,1999,1061.0794
Canada,Emissions (CO2eq) from CH4,Agriculture total,1999,22282.668
Canada,Emissions (CH4),Enteric Fermentation,1999,818.3615
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,1999,17185.5915
Canada,Emissions (CH4),Manure Management,1999,210.0985
Canada,Emissions (CO2eq) from CH4,Manure Management,1999,4412.0688
Canada,Emissions (CH4),Burning - Crop residues,1999,14.313
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,1999,384.4342
Canada,Emissions (CH4),Burning - Savanna,1999,18.3064
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,1999,300.5735
World,Emissions (CH4),Agriculture total,1999,126756.5074
World,Emissions (CO2eq) from CH4,Agriculture total,1999,2661886.655
World,Emissions (CH4),Enteric Fermentation,1999,87683.7125
World,Emissions (CO2eq) from CH4,Enteric Fermentation,1999,1841357.961
World,Emissions (CH4),Manure Management,1999,8871.8174
World,Emissions (CO2eq) from CH4,Manure Management,1999,186308.1662
World,Emissions (CH4),Rice Cultivation,1999,23837.152
World,Emissions (CO2eq) from CH4,Rice Cultivation,1999,500580.1921
World,Emissions (CO2eq) from CH4,Burning - Savanna,1999,115424.8602
World,Emissions (CH4),Burning - Savanna,1999,5496.4219
World,Emissions (CH4),Burning - Crop residues,1999,867.4036
World,Emissions (CO2eq) from CH4,Burning - Crop residues,1999,18215.4751
World,Emissions (CO2eq) from CH4,Burning - Crop residues,2000,18155.3809
World,Emissions (CH4),Burning - Crop residues,2000,864.5419
World,Emissions (CH4),Burning - Savanna,2000,5760.4401
World,Emissions (CO2eq) from CH4,Burning - Savanna,2000,120969.2418
World,Emissions (CO2eq) from CH4,Rice Cultivation,2000,489960.5766
World,Emissions (CH4),Rice Cultivation,2000,23331.456
World,Emissions (CO2eq) from CH4,Manure Management,2000,186388.1614
World,Emissions (CH4),Manure Management,2000,8875.6267
World,Emissions (CO2eq) from CH4,Enteric Fermentation,2000,1849131.102
World,Emissions (CH4),Enteric Fermentation,2000,88053.862
World,Emissions (CO2eq) from CH4,Agriculture total,2000,2664604.463
World,Emissions (CH4),Agriculture total,2000,126885.9268
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,2000,308.9254
Canada,Emissions (CH4),Burning - Savanna,2000,6.8154
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,2000,143.1231
Canada,Emissions (CH4),Burning - Crop residues,2000,14.7107
Canada,Emissions (CO2eq) from CH4,Manure Management,2000,4472.609
Canada,Emissions (CH4),Manure Management,2000,212.9814
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,2000,17120.1345
Canada,Emissions (CH4),Enteric Fermentation,2000,815.2445
Canada,Emissions (CO2eq) from CH4,Agriculture total,2000,22044.792
Canada,Emissions (CH4),Agriculture total,2000,1049.752
United States of America,Emissions (CH4),Burning - Savanna,2000,26.5534
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,2000,557.6223
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,2000,2202.9836
United States of America,Emissions (CH4),Burning - Crop residues,2000,104.904
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,2000,9039.3975
United States of America,Emissions (CH4),Rice Cultivation,2000,430.4475
United States of America,Emissions (CO2eq) from CH4,Manure Management,2000,26971.1382
United States of America,Emissions (CH4),Manure Management,2000,1284.3399
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,2000,129066.2824
United States of America,Emissions (CH4),Enteric Fermentation,2000,6146.0134
United States of America,Emissions (CO2eq) from CH4,Agriculture total,2000,167837.4242
United States of America,Emissions (CH4),Agriculture total,2000,7992.2583
United States of America,Emissions (CH4),Agriculture total,2001,7962.4395
United States of America,Emissions (CO2eq) from CH4,Agriculture total,2001,167211.2299
United States of America,Emissions (CH4),Enteric Fermentation,2001,6096.5949
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,2001,128028.4929
United States of America,Emissions (CH4),Manure Management,2001,1287.8563
United States of America,Emissions (CO2eq) from CH4,Manure Management,2001,27044.9831
United States of America,Emissions (CH4),Rice Cultivation,2001,469.399
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,2001,9857.379
United States of America,Emissions (CH4),Burning - Crop residues,2001,99.0477
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,2001,2080.0011
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,2001,200.3737
United States of America,Emissions (CH4),Burning - Savanna,2001,9.5416
Canada,Emissions (CH4),Agriculture total,2001,1077.5678
Canada,Emissions (CO2eq) from CH4,Agriculture total,2001,22628.9243
Canada,Emissions (CH4),Enteric Fermentation,2001,839.6553
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,2001,17632.7603
Canada,Emissions (CH4),Manure Management,2001,220.4561
Canada,Emissions (CO2eq) from CH4,Manure Management,2001,4629.5791
Canada,Emissions (CH4),Burning - Crop residues,2001,14.8762
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,2001,54.185
Canada,Emissions (CH4),Burning - Savanna,2001,2.5802
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,2001,312.4
World,Emissions (CH4),Agriculture total,2001,127800.5536
World,Emissions (CO2eq) from CH4,Agriculture total,2001,2683811.625
World,Emissions (CH4),Enteric Fermentation,2001,88102.9725
World,Emissions (CO2eq) from CH4,Enteric Fermentation,2001,1850162.424
World,Emissions (CH4),Manure Management,2001,8846.9007
World,Emissions (CO2eq) from CH4,Manure Management,2001,185784.9138
World,Emissions (CH4),Rice Cultivation,2001,23023.939
World,Emissions (CO2eq) from CH4,Rice Cultivation,2001,483502.7197
World,Emissions (CO2eq) from CH4,Burning - Savanna,2001,146245.2853
World,Emissions (CH4),Burning - Savanna,2001,6964.0612
World,Emissions (CH4),Burning - Crop residues,2001,862.6801
World,Emissions (CO2eq) from CH4,Burning - Crop residues,2001,18116.2831
World,Emissions (CO2eq) from CH4,Burning - Crop residues,2002,18028.0251
World,Emissions (CH4),Burning - Crop residues,2002,858.4774
World,Emissions (CH4),Burning - Savanna,2002,7155.3423
World,Emissions (CO2eq) from CH4,Burning - Savanna,2002,150262.1879
World,Emissions (CO2eq) from CH4,Rice Cultivation,2002,472821.3169
World,Emissions (CH4),Rice Cultivation,2002,22515.3008
World,Emissions (CO2eq) from CH4,Manure Management,2002,187665.6721
World,Emissions (CH4),Manure Management,2002,8936.4606
World,Emissions (CO2eq) from CH4,Enteric Fermentation,2002,1866820.104
World,Emissions (CH4),Enteric Fermentation,2002,88896.1954
World,Emissions (CO2eq) from CH4,Agriculture total,2002,2695597.306
World,Emissions (CH4),Agriculture total,2002,128361.7765
Canada,Emissions (CO2eq) from CH4,Burning - Crop residues,2002,270.3116
Canada,Emissions (CH4),Burning - Savanna,2002,16.9642
Canada,Emissions (CO2eq) from CH4,Burning - Savanna,2002,356.2476
Canada,Emissions (CH4),Burning - Crop residues,2002,12.872
Canada,Emissions (CO2eq) from CH4,Manure Management,2002,4806.9287
Canada,Emissions (CH4),Manure Management,2002,228.9014
Canada,Emissions (CO2eq) from CH4,Enteric Fermentation,2002,17781.8193
Canada,Emissions (CH4),Enteric Fermentation,2002,846.7533
Canada,Emissions (CO2eq) from CH4,Agriculture total,2002,23215.3072
Canada,Emissions (CH4),Agriculture total,2002,1105.4908
United States of America,Emissions (CH4),Burning - Savanna,2002,26.007
United States of America,Emissions (CO2eq) from CH4,Burning - Savanna,2002,546.1467
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,2002,2067.1647
United States of America,Emissions (CH4),Burning - Crop residues,2002,98.4364
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,2002,9539.124
United States of America,Emissions (CH4),Rice Cultivation,2002,454.244
United States of America,Emissions (CO2eq) from CH4,Manure Management,2002,27074.2778
United States of America,Emissions (CH4),Manure Management,2002,1289.2513
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,2002,127585.7442
United States of America,Emissions (CH4),Enteric Fermentation,2002,6075.5116
United States of America,Emissions (CO2eq) from CH4,Agriculture total,2002,166812.4574
United States of America,Emissions (CH4),Agriculture total,2002,7943.4504
United States of America,Emissions (CH4),Agriculture total,2003,7904.1935
United States of America,Emissions (CO2eq) from CH4,Agriculture total,2003,165988.0633
United States of America,Emissions (CH4),Enteric Fermentation,2003,6055.0728
United States of America,Emissions (CO2eq) from CH4,Enteric Fermentation,2003,127156.5288
United States of America,Emissions (CH4),Manure Management,2003,1296.1898
United States of America,Emissions (CO2eq) from CH4,Manure Management,2003,27219.9851
United States of America,Emissions (CH4),Rice Cultivation,2003,424.501
United States of America,Emissions (CO2eq) from CH4,Rice Cultivation,2003,8914.521
United States of America,Emissions (CH4),Burning - Crop residues,2003,103.2157
United States of America,Emissions (CO2eq) from CH4,Burning - Crop residues,2003,2167.5307
